name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
massgravel/Microsoft-Activation-Scripts,144795,2020-01-12T23:03:34Z,2025-08-10T21:18:38Z,Batchfile,24,6,717,717
ytdl-org/youtube-dl,136861,2010-10-31T14:35:07Z,2025-05-04T11:53:05Z,Python,341,1642,26766,23122
vercel/next.js,133805,2016-10-05T23:32:51Z,2025-08-15T20:32:27Z,JavaScript,1000,23565,23337,21016
f/awesome-chatgpt-prompts,132618,2022-12-05T13:54:13Z,2025-08-02T07:30:17Z,JavaScript,0,171,0,0
n8n-io/n8n,129948,2019-06-22T09:24:21Z,2025-08-15T20:36:43Z,TypeScript,378,10545,5053,4456
golang/go,129416,2014-08-19T04:33:40Z,2025-08-15T20:18:52Z,Go,0,1,67873,58708
labuladong/fucking-algorithm,128910,2020-02-19T09:01:23Z,2025-01-31T06:30:22Z,Markdown,1,238,916,914
yangshun/tech-interview-handbook,128511,2016-07-05T05:00:48Z,2025-07-10T00:25:52Z,TypeScript,0,481,115,74
Genymobile/scrcpy,126619,2017-11-21T18:00:27Z,2025-08-12T17:04:09Z,C,47,113,5610,3161
521xueweihan/HelloGitHub,125176,2016-05-04T06:24:11Z,2025-07-30T17:30:00Z,Python,57,16,2838,2627
Chalarangelo/30-seconds-of-code,124914,2017-11-29T17:35:03Z,2025-08-07T16:49:18Z,JavaScript,12,826,300,300
facebook/react-native,123423,2015-01-09T18:10:16Z,2025-08-15T18:47:49Z,C++,410,930,27192,26537
yt-dlp/yt-dlp,122524,2020-10-26T04:22:55Z,2025-08-13T22:02:59Z,Python,116,2872,9720,8101
microsoft/PowerToys,122207,2019-05-01T17:44:02Z,2025-08-15T16:19:51Z,C#,117,5612,34456,27507
electron/electron,117899,2013-04-12T01:47:36Z,2025-08-15T19:18:49Z,C++,1000,23218,21038,20280
kubernetes/kubernetes,116901,2014-06-06T22:56:04Z,2025-08-15T20:01:04Z,Go,754,62224,47666,45748
krahets/hello-algo,115468,2022-11-04T11:08:34Z,2025-08-05T18:33:00Z,Java,9,945,269,257
justjavac/free-programming-books-zh_CN,114979,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,N/A,3,282,0,0
langchain-ai/langchain,113589,2022-10-17T02:58:36Z,2025-08-15T20:40:35Z,Jupyter Notebook,945,14451,8637,8428
nodejs/node,112743,2014-11-26T19:57:11Z,2025-08-15T16:25:10Z,JavaScript,455,10710,19429,17712
d3/d3,111277,2010-09-27T17:22:42Z,2025-07-27T11:30:40Z,Shell,194,493,2229,2220
langgenius/dify,111016,2023-04-12T07:40:24Z,2025-08-15T16:01:56Z,TypeScript,140,6962,12444,11752
ripienaar/free-for-dev,110076,2015-03-18T21:06:26Z,2025-08-15T08:31:14Z,HTML,0,2757,0,0
mrdoob/three.js,108117,2010-03-23T18:58:01Z,2025-08-15T14:37:36Z,JavaScript,171,14367,13157,12714
axios/axios,107399,2014-08-18T22:30:27Z,2025-08-14T01:30:39Z,JavaScript,97,1000,4843,4477
open-webui/open-webui,106773,2023-10-06T22:08:27Z,2025-08-15T10:55:41Z,JavaScript,119,2485,6109,5901
rust-lang/rust,105801,2010-06-16T20:39:03Z,2025-08-15T18:53:57Z,Rust,140,65490,59153,48489
microsoft/TypeScript,105614,2014-06-17T15:28:39Z,2025-08-14T19:17:25Z,TypeScript,212,14673,42432,36848
excalidraw/excalidraw,105447,2020-01-02T01:04:43Z,2025-08-15T20:42:13Z,TypeScript,14,3694,4232,2400
goldbergyoni/nodebestpractices,103931,2017-09-15T08:33:19Z,2025-04-15T21:52:42Z,Dockerfile,0,765,328,285
denoland/deno,103873,2018-05-15T01:34:26Z,2025-08-15T19:48:03Z,Rust,341,13306,13149,10868
facebook/create-react-app,103426,2016-07-17T14:55:11Z,2025-02-15T01:32:11Z,JavaScript,83,1949,8400,6567
GrowingGit/GitHub-Chinese-Top-Charts,101203,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,Java,0,0,340,161
langflow-ai/langflow,100693,2023-02-08T22:28:03Z,2025-08-15T20:43:17Z,Python,262,4596,2675,2246
godotengine/godot,100232,2014-01-04T16:05:36Z,2025-08-15T18:04:34Z,C++,61,38663,58015,45954
microsoft/terminal,99204,2017-08-11T18:38:22Z,2025-08-15T20:34:30Z,C++,136,4183,13453,11856
deepseek-ai/DeepSeek-V3,98633,2024-12-26T09:52:40Z,2025-06-27T08:46:37Z,Python,1,21,581,553
angular/angular,98485,2014-09-18T16:12:01Z,2025-08-15T11:51:00Z,TypeScript,467,3873,29459,27995
fatedier/frp,97471,2015-12-21T15:24:59Z,2025-08-15T08:11:06Z,Go,106,683,3896,3833
papers-we-love/papers-we-love,97096,2013-12-15T14:31:41Z,2025-05-04T18:45:38Z,Shell,0,437,246,245
mui/material-ui,96370,2014-08-18T19:11:54Z,2025-08-15T19:27:36Z,TypeScript,547,20778,20165,18548
Hack-with-Github/Awesome-Hacking,96293,2016-03-30T15:47:10Z,2025-01-18T01:48:02Z,N/A,0,34,0,0
iptv-org/iptv,96254,2018-11-14T22:00:57Z,2025-08-15T09:55:21Z,TypeScript,0,6664,14697,14232
rustdesk/rustdesk,95722,2020-09-28T15:36:08Z,2025-08-15T07:00:30Z,Rust,31,3628,3610,3554
ant-design/ant-design,95663,2015-04-24T15:37:24Z,2025-08-15T16:29:17Z,TypeScript,713,15753,31602,30373
tauri-apps/tauri,95562,2019-07-13T09:09:37Z,2025-08-15T13:45:30Z,Rust,1000,5146,5754,4632
microsoft/generative-ai-for-beginners,95005,2023-06-19T16:28:59Z,2025-08-11T05:20:19Z,Jupyter Notebook,0,376,176,165
nvbn/thefuck,93473,2015-04-08T15:08:04Z,2024-07-19T14:56:13Z,Python,17,481,759,472
ryanmcdermott/clean-code-javascript,93349,2016-11-25T22:25:41Z,2024-07-29T07:24:37Z,JavaScript,0,149,235,163
shadcn-ui/ui,92988,2023-01-04T12:43:27Z,2025-08-13T15:03:28Z,TypeScript,52,636,3337,2368
iluwatar/java-design-patterns,92492,2014-08-09T16:45:18Z,2025-08-05T05:50:17Z,Java,0,1507,959,830
pytorch/pytorch,92397,2016-08-13T05:26:41Z,2025-08-15T20:44:14Z,Python,61,6191,53122,37671
Anduin2017/HowToCook,92357,2020-02-29T10:43:49Z,2025-08-01T16:17:17Z,Dockerfile,4,586,780,346
neovim/neovim,91995,2014-01-31T13:39:22Z,2025-08-15T09:06:42Z,Vim Script,45,16094,13100,11456
puppeteer/puppeteer,91743,2017-05-09T22:16:13Z,2025-08-15T19:17:02Z,TypeScript,557,5411,7212,6948
microsoft/Web-Dev-For-Beginners,91360,2020-11-10T02:44:00Z,2025-08-07T12:15:04Z,JavaScript,0,514,330,242
deepseek-ai/DeepSeek-R1,90868,2025-01-20T11:57:28Z,2025-06-27T08:35:54Z,N/A,1,9,630,569
PanJiaChen/vue-element-admin,89774,2017-04-17T03:35:49Z,2024-10-24T11:25:46Z,Vue,49,311,3609,2357
tailwindlabs/tailwindcss,89591,2017-10-06T14:59:14Z,2025-08-15T11:37:09Z,TypeScript,290,3070,4535,4456
fastapi/fastapi,88413,2018-12-08T08:21:47Z,2025-08-15T17:51:53Z,Python,208,2732,3466,3417
mtdvio/every-programmer-should-know,87806,2017-08-24T13:18:26Z,2024-08-06T12:01:28Z,N/A,0,99,52,23
storybookjs/storybook,87518,2016-03-18T04:23:44Z,2025-08-15T17:11:26Z,TypeScript,1000,11470,13683,11610
supabase/supabase,87160,2019-10-12T05:56:49Z,2025-08-15T18:01:26Z,TypeScript,22,12896,4644,4403
openai/whisper,86683,2022-09-16T20:02:54Z,2025-06-26T01:05:52Z,Python,13,119,0,0
