name,stars,createdAt,pushedAt,primaryLanguage,totalReleases,acceptedPullRequests,totalIssues,closedIssues
rapid7/metasploit-framework,36200,2011-08-30T06:13:20Z,2025-08-21T12:00:00Z,Ruby,0,11346,6280,5843
open-guides/og-aws,36199,2016-07-13T17:30:16Z,2024-08-16T02:51:54Z,Shell,0,498,227,87
nushell/nushell,36148,2019-05-10T16:59:42Z,2025-08-21T20:08:28Z,Rust,111,7902,6631,5155
opentofu/manifesto,36082,2023-08-13T16:17:24Z,2025-03-18T18:26:51Z,HTML,0,765,26,14
NanmiCoder/MediaCrawler,36055,2023-06-09T12:14:34Z,2025-08-18T11:15:50Z,Python,0,101,491,392
date-fns/date-fns,36047,2014-10-06T10:24:22Z,2025-08-14T23:54:15Z,TypeScript,122,1068,1997,1367
shadowsocks/shadowsocks-android,36019,2012-12-16T13:40:29Z,2025-07-12T23:41:14Z,Kotlin,185,256,2505,2457
lerna/lerna,36007,2015-12-04T09:36:55Z,2025-08-06T17:08:47Z,TypeScript,244,997,2673,2277
docker/compose,36002,2013-12-09T11:40:58Z,2025-08-20T10:53:41Z,Go,263,3541,8116,8038
crewAIInc/crewAI,35968,2023-10-27T03:26:59Z,2025-08-22T01:14:47Z,Python,99,936,1486,1437
chatchat-space/Langchain-Chatchat,35934,2023-03-31T12:12:45Z,2025-03-25T15:45:51Z,TypeScript,31,615,4186,4079
XingangPan/DragGAN,35912,2023-05-18T10:08:02Z,2024-05-18T17:51:40Z,Python,0,18,191,46
SheetJS/sheetjs,35873,2012-12-03T19:25:52Z,2024-04-18T08:06:46Z,N/A,0,106,2386,2267
formulahendry/955.WLB,35850,2019-03-27T23:53:37Z,2025-02-03T05:15:20Z,N/A,0,18,263,82
openai/codex,35829,2025-04-13T05:37:54Z,2025-08-22T00:40:57Z,Rust,84,915,948,658
imputnet/cobalt,35767,2022-07-08T18:12:55Z,2025-08-19T08:07:36Z,Svelte,0,243,939,776
geekxh/hello-algorithm,35758,2020-05-29T05:47:09Z,2023-06-13T04:13:17Z,Java,0,26,44,33
typeorm/typeorm,35685,2016-02-29T07:41:14Z,2025-08-21T15:40:07Z,TypeScript,38,2176,8401,6058
carbon-app/carbon,35633,2017-06-16T02:50:28Z,2025-06-03T06:16:59Z,JavaScript,215,668,686,627
koajs/koa,35602,2013-07-20T18:53:45Z,2025-08-18T08:10:06Z,JavaScript,9,522,925,909
hankcs/HanLP,35532,2014-10-09T06:36:16Z,2025-05-15T02:30:50Z,Python,62,79,1429,1421
HeyPuter/puter,35482,2024-03-03T01:44:32Z,2025-08-22T01:08:31Z,JavaScript,8,590,695,518
alvarotrigo/fullPage.js,35462,2013-09-20T11:58:29Z,2025-06-28T00:48:36Z,JavaScript,105,320,4131,3999
airbnb/lottie-android,35452,2016-10-06T22:42:42Z,2025-08-08T21:24:48Z,Java,59,713,1778,1744
kilimchoi/engineering-blogs,35408,2015-06-13T18:25:17Z,2024-08-21T13:01:11Z,Ruby,0,681,97,74
PKUanonym/REKCARC-TSC-UHT,35404,2019-04-05T03:31:23Z,2025-08-21T04:21:04Z,HTML,0,171,32,30
markedjs/marked,35380,2011-07-24T13:15:51Z,2025-08-18T00:58:03Z,TypeScript,156,1554,1603,1591
zen-browser/desktop,35369,2024-03-28T00:05:55Z,2025-08-21T08:59:56Z,C++,115,479,6912,6530
mindsdb/mindsdb,35361,2018-08-02T17:56:45Z,2025-08-21T21:27:28Z,Python,311,5368,4303,4247
jondot/awesome-react-native,35327,2015-03-26T19:58:06Z,2024-07-05T13:12:41Z,JavaScript,0,912,73,35
nativefier/nativefier,35279,2015-07-05T05:56:42Z,2023-09-29T13:45:16Z,TypeScript,99,261,1237,982
spacedriveapp/spacedrive,35262,2021-09-27T05:09:04Z,2025-03-24T14:19:49Z,TypeScript,26,1881,507,388
junegunn/vim-plug,35153,2013-09-10T14:58:51Z,2025-03-29T05:17:01Z,Vim Script,8,177,1037,966
sqlmapproject/sqlmap,35100,2012-06-26T09:52:15Z,2025-08-19T09:32:01Z,Python,10,173,5343,5296
huggingface/pytorch-image-models,35086,2019-02-02T05:51:12Z,2025-08-08T19:23:26Z,Python,69,479,998,947
twentyhq/twenty,35056,2022-12-01T13:04:40Z,2025-08-22T00:22:39Z,TypeScript,46,7204,5206,5015
sahat/hackathon-starter,35053,2013-11-13T17:24:12Z,2025-07-30T18:07:42Z,JavaScript,17,347,680,670
alebcay/awesome-shell,35019,2014-07-07T01:57:42Z,2024-08-21T06:53:29Z,N/A,0,307,62,23
unknwon/the-way-to-go_ZH_CN,35018,2013-03-24T17:18:38Z,2024-08-14T07:04:25Z,Go,0,592,0,0
pola-rs/polars,34988,2020-05-13T19:45:33Z,2025-08-21T18:24:42Z,Rust,226,11478,11288,8721
bumptech/glide,34942,2013-07-08T22:52:33Z,2025-08-21T18:17:51Z,Java,47,571,4482,3920
TeamNewPipe/NewPipe,34820,2015-09-03T23:39:26Z,2025-08-17T22:14:33Z,Java,137,1661,9630,8407
fengdu78/Coursera-ML-AndrewNg-Notes,34804,2017-11-04T10:04:08Z,2024-06-10T00:47:49Z,HTML,0,13,68,15
doocs/leetcode,34788,2018-09-16T14:03:03Z,2025-08-22T01:13:38Z,Java,21,4094,56,56
reworkd/AgentGPT,34786,2023-04-07T02:29:19Z,2025-04-29T01:19:32Z,TypeScript,12,539,467,337
mudler/LocalAI,34757,2023-03-18T22:58:02Z,2025-08-21T21:47:49Z,Go,83,3918,1083,708
microsoft/ai-agents-for-beginners,34721,2024-11-28T10:42:52Z,2025-08-21T15:32:25Z,Jupyter Notebook,0,149,67,58
yeongpin/cursor-free-vip,34680,2025-01-11T08:14:22Z,2025-06-18T02:18:31Z,Python,69,74,1025,473
outline/outline,34661,2016-05-22T21:31:47Z,2025-08-21T11:56:02Z,TypeScript,147,3339,3495,3400
charmbracelet/bubbletea,34536,2020-01-10T21:04:03Z,2025-08-19T19:13:52Z,Go,62,628,368,295
ghostty-org/ghostty,34533,2022-03-29T17:38:26Z,2025-08-21T23:09:16Z,Zig,1,2608,1777,1636
sorrycc/awesome-javascript,34506,2014-07-01T15:59:02Z,2025-08-04T20:42:39Z,N/A,0,393,93,88
BVLC/caffe,34496,2013-09-12T18:39:48Z,2024-07-31T23:10:28Z,C++,14,1087,4801,3902
chenfei-wu/TaskMatrix,34414,2023-03-02T09:04:28Z,2024-01-06T02:41:20Z,Python,0,21,357,136
fastify/fastify,34395,2016-09-28T19:10:14Z,2025-08-15T22:01:29Z,JavaScript,298,3135,2091,2014
nodejs/node-v0.x-archive,34380,2009-05-27T16:29:46Z,2024-08-15T20:32:32Z,N/A,0,218,6379,6379
netty/netty,34346,2010-11-09T09:22:21Z,2025-08-21T11:56:06Z,Java,0,4432,6713,6102
fxsjy/jieba,34337,2012-09-29T07:52:01Z,2024-08-21T09:23:45Z,Python,9,96,866,229
roboflow/supervision,34287,2022-11-28T14:08:44Z,2025-08-18T17:34:15Z,Python,33,967,489,415
jaredpalmer/formik,34284,2017-06-14T19:50:59Z,2024-10-18T03:18:36Z,TypeScript,196,829,2259,1558
xitu/gold-miner,34243,2015-11-04T03:29:13Z,2024-04-17T09:44:37Z,N/A,0,3563,5601,5592
